dfo_centroid_y,dfo_main_cause,dfo_centroid_x,slope_threshold,dfo_severity,threshold_b1b2,dfo_displaced,began,dfo_validation_type,dfo_country,dfo_dead,gfd_country_code,ended,threshold_type,threshold_b7,began_y,began_m,began_d,ended_y,ended_m,ended_d,path,range
-6.8528,Monsoonal rain,108.592918,5,1,0.7,10000,2006/1/26,News,Indonesia,19,ID,2006/2/14,0,675,2006,1,26,2006,2,14,/Indonesia/DFO_2789_From_20060126_to_20060214/DFO_2789_From_20060126_to_20060214.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
-5.166664,Heavy rain,120.107435,5,1,0.7,7580,2006/6/19,News,Indonesia,291,ID,2006/6/23,0,675,2006,6,19,2006,6,23,/Indonesia/DFO_2890_From_20060619_to_20060623/DFO_2890_From_20060619_to_20060623.tif,"(118.75278898418014 4.552212702275676,118.75278898418014 -6.501556868815038,126.91398334040599 -6.501556868815038,126.91398334040599 4.552212702275676,118.75278898418014 4.552212702275676)"
-2.428747,Heavy rain,113.005128,5,2,0.7,30000,2003/1/14,News,Indonesia,0,ID MY,2003/2/6,0,675,2003,1,14,2003,2,6,/Indonesia/DFO_2127_From_20030114_to_20030206/DFO_2127_From_20030114_to_20030206.tif,"(108.59508890899866 2.804989474663206,108.59508890899866 -3.54834537227211,114.36002724483569 -3.54834537227211,114.36002724483569 2.804989474663206,108.59508890899866 2.804989474663206)"
-2.41871,Heavy rain,104.265313,5,1.5,0.7,1000,2013/2/20,News,Indonesia,0,ID,2013/3/4,0,675,2013,2,20,2013,3,4,/Indonesia/DFO_4032_From_20130220_to_20130304/DFO_4032_From_20130220_to_20130304.tif,"(103.16926459291675 -1.0106046946344618,103.16926459291675 -2.964440437594421,105.04674353672655 -2.964440437594421,105.04674353672655 -1.0106046946344618,103.16926459291675 -1.0106046946344618)"
-6.318737,Torrential Rain,106.658074,5,1,1.289,6800,2012/2/12,News,Indonesia,0,ID,2012/2/14,1,615.99,2012,2,12,2012,2,14,/Indonesia/DFO_3899_From_20120212_to_20120214/DFO_3899_From_20120212_to_20120214.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
-7.126871,Heavy rain,112.368479,5,1,0.7,12000,2008/3/1,News,Indonesia,3,ID,2008/4/3,0,675,2008,3,1,2008,4,3,/Indonesia/DFO_3280_From_20080301_to_20080403/DFO_3280_From_20080301_to_20080403.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
-2.585677,Torrential Rain,103.415798,5,1,0.7,1200,2012/2/20,News,Indonesia,0,ID,2012/2/27,0,675,2012,2,20,2012,2,27,/Indonesia/DFO_3902_From_20120220_to_20120227/DFO_3902_From_20120220_to_20120227.tif,"(95.0058244484806 5.910914569506452,95.0058244484806 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 5.910914569506452,95.0058244484806 5.910914569506452)"
-3.285772,Heavy rain,115.489611,5,1,1.173,3000,2006/6/25,News,Indonesia,26,ID,2006/6/29,1,743.12,2006,6,25,2006,6,29,/Indonesia/DFO_2896_From_20060625_to_20060629/DFO_2896_From_20060625_to_20060629.tif,"(114.24324625790015 -0.6849654041411352,114.24324625790015 -4.379287010082668,117.39857869336997 -4.379287010082668,117.39857869336997 -0.6849654041411352,114.24324625790015 -0.6849654041411352)"
-1.041628,Heavy rain,102.901561,5,2,0.991,350000,2003/12/10,News,Indonesia,148,ID,2004/1/23,1,536.32,2003,12,10,2004,1,23,/Indonesia/DFO_2403_From_20031210_to_20040123/DFO_2403_From_20031210_to_20040123.tif,"(100.31486777762697 4.552212702275676,100.31486777762697 -6.501556868815038,126.913983340406 -6.501556868815038,126.913983340406 4.552212702275676,100.31486777762697 4.552212702275676)"
-7.046763,Heavy rain,107.641486,5,1,0.7,0,2003/1/30,News,Indonesia,0,ID,2003/2/9,0,675,2003,1,30,2003,2,9,/Indonesia/DFO_2148_From_20030130_to_20030209/DFO_2148_From_20030130_to_20030209.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
-7.476875,Torrential Rain,110.032248,5,1.5,0.7,0,2016/6/17,News,Indonesia,43,ID,2016/6/24,0,675,2016,6,17,2016,6,24,/Indonesia/DFO_4364_From_20160617_to_20160624/DFO_4364_From_20160617_to_20160624.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
-6.224835,Heavy rain,106.827557,5,1,0.7,1000,2008/1/2,News,Indonesia,0,ID,2008/1/6,0,675,2008,1,2,2008,1,6,/Indonesia/DFO_3251_From_20080102_to_20080106/DFO_3251_From_20080102_to_20080106.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
-6.958962,Heavy rain,107.602907,5,1,1.299,50000,2005/2/19,News,Indonesia,0,ID,2005/2/25,1,694.92,2005,2,19,2005,2,25,/Indonesia/DFO_2627_From_20050219_to_20050225/DFO_2627_From_20050219_to_20050225.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
-0.1883,Heavy rain,116.91957,5,1,0.7,60000,2007/5/15,News,Indonesia,4,ID MY BX,2007/6/5,0,675,2007,5,15,2007,6,5,/Indonesia/DFO_3081_From_20070515_to_20070605/DFO_3081_From_20070515_to_20070605.tif,"(111.38660365440008 7.368431117990375,111.38660365440008 -4.379287010082668,119.27156606075917 -4.379287010082668,119.27156606075917 7.368431117990375,111.38660365440008 7.368431117990375)"
-1.503825,Heavy rain,103.543957,5,1,1.077,2000,2003/5/3,News,Indonesia,0,ID,2003/5/6,1,905.33,2003,5,3,2003,5,6,/Indonesia/DFO_2222_From_20030503_to_20030506/DFO_2222_From_20030503_to_20030506.tif,"(100.33283408330936 0.5479723233129081,100.33283408330936 -2.964440437594421,105.04674353672655 -2.964440437594421,105.04674353672655 0.5479723233129081,100.33283408330936 0.5479723233129081)"
-6.973194,Heavy rain,107.603981,5,1,1.296,4300,2003/2/16,News,Indonesia,0,ID,2003/2/17,1,709.95,2003,2,16,2003,2,17,/Indonesia/DFO_2158_From_20030216_to_20030217/DFO_2158_From_20030216_to_20030217.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
-2.465434,Torrential Rain,103.351503,5,1,0.7,37000,2016/1/18,News,Indonesia,1,ID,2016/3/10,0,675,2016,1,18,2016,3,10,/Indonesia/DFO_4330_From_20160118_to_20160310/DFO_4330_From_20160118_to_20160310.tif,"(95.0058244484806 5.910914569506452,95.0058244484806 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 5.910914569506452,95.0058244484806 5.910914569506452)"
19.240185,Tropical Cyclone,110.083434,5,2,0.7,470000,2005/9/26,News,China,104,TH BM CH LA CB VM PF,2005/10/6,0,675,2005,9,26,2005,10,6,/Laos/DFO_2736_From_20050926_to_20051006/DFO_2736_From_20050926_to_20051006.tif,"(91.14756030318725 33.82157044709999,91.14756030318725 8.56094465765904,114.72159914669379 8.56094465765904,114.72159914669379 33.82157044709999,91.14756030318725 33.82157044709999)"
11.768371,Monsoonal rain,105.382431,5,2,0.7,1060000,2001/8/15,News,Cambodia,416,TH BM LA CB VM,2001/11/19,0,675,2001,8,15,2001,11,19,/Laos/DFO_1781_From_20010815_to_20011119/DFO_1781_From_20010815_to_20011119.tif,"(98.07357114374877 21.68083938222465,98.07357114374877 8.56094465765904,109.47319209922549 8.56094465765904,109.47319209922549 21.68083938222465,98.07357114374877 21.68083938222465)"
